g,HR_Region,shortage_pct%,IMPLAN_category,crop_class,basin,i,p,y,xland,xlandsc,xwater,xwatersc,grev_base,gross_revenue,iterations,statussc,lambdawater
CLS03-IDs,Sacramento River,0.8,Corn,Corn,CLS,Corn,166.7194068,5.454093572,5950.540547,5950.540547,15084.620286645,15084.620286645,5410845.828626572,5410845.828626572,10,Infeasible,N/A
CLS03-IDs,Sacramento River,0.8,Other field and grain,Field and grain,CLS,Cotton,1657.32655,0.8275,2106.341442,2106.341442,5883.713760617886,5883.713760617886,2888716.105021285,2888716.105021285,10,Infeasible,N/A
CLS03-IDs,Sacramento River,0.8,Vegetables and non-tree fruits,Vegetables,CLS,Cucurbits,161.7514,13.41,5276.415198,5276.415198,10702.328824851194,10702.328824851194,11444999.781906791,11444999.781906791,10,Infeasible,N/A
CLS03-IDs,Sacramento River,0.8,Other field and grain,Field and grain,CLS,Field and Grain,173.2298426,2.485487486,10961.92117,10961.92117,10541.71419547064,10541.71419547064,4719771.421704583,4719771.421704583,10,Infeasible,N/A
CLS03-IDs,Sacramento River,0.8,Trees and Vine,Trees and vines,CLS,Grapes Wine,730.6198687,7.837965954,353.2541741,353.2541741,860.7626710080847,860.7626710080847,2022936.0473389972,2022936.0473389972,10,Infeasible,N/A
CLS03-IDs,Sacramento River,0.8,Trees and Vine,Trees and vines,CLS,Orchards,2061.666385,2.066393172,1692.695334,1692.695334,5509.514330311369,5509.514330311369,7211243.243996007,7211243.243996007,10,Infeasible,N/A
CLS03-IDs,Sacramento River,0.8,Alfalfa and Pasture,Alfalfa and pasture,CLS,Pasture,215.0,3.5,5964.908696,5964.908696,23869.57630048164,23869.57630048164,4488593.793740001,4488593.793740001,10,Infeasible,N/A
CLS03-IDs,Sacramento River,0.8,Corn,Field and grain,CLS,Rice,370.9204663,4.450435008,184263.8212,184263.8212,829187.1954000001,829187.1954000001,304174871.6322284,304174871.6322284,10,Infeasible,N/A
CLS03-IDs,Sacramento River,0.8,Other field and grain,Field and grain,CLS,Safflower,429.9064999,1.059039203,415.014405,415.014405,808.5863989366618,808.5863989366618,188951.0107840177,188951.0107840177,10,Infeasible,N/A
CLS03-IDs,Sacramento River,0.8,Trees and Vine,Trees and vines,CLS,Subtropical,942.1801854,4.535541375,619.0154128,619.0154128,1519.1699934397266,1519.1699934397266,2645236.838685567,2645236.838685567,10,Infeasible,N/A
CLS03-IDs,Sacramento River,0.8,Other field and grain,Field and grain,CLS,Sunflowers,3239.762235,0.609912532,7910.757272,7910.757272,17331.150720769747,17331.150720769747,15631431.607666474,15631431.607666474,10,Infeasible,N/A
CLS03-IDs,Sacramento River,0.8,Vegetables and non-tree fruits,Vegetables,CLS,Tomatoes Processing,77.35725946,46.64298896,11962.36644,11962.36644,27912.188356012546,27912.188356012546,43162297.1624697,43162297.1624697,10,Infeasible,N/A
CLS03-IDs,Sacramento River,0.8,Vegetables and non-tree fruits,Vegetables,CLS,Truck,742.4217034,17.44810947,568.626437,568.626437,1281.3049045171247,1281.3049045171247,7365904.501534774,7365904.501534774,10,Infeasible,N/A
