g,i,hr,xland,p,y,xwater,omegaland,omegawater,omegasupply,omegalabor,theta,omegawater_unit,sigma,CS_land,CS_labor,CS_supply
PANOCHE W.D.,Field and Grain,San Joaquin River,2941.343044,194.8087562,3.454627792,2.92,127.4152524,25,76.29216237,327.7457084,0.74,25,0.17,0.189326621,0.486998112,0.113362702
PATTERSON W.D.,Field and Grain,San Joaquin River,346.032142,194.8087562,3.454627792,2.92,127.4152524,25,76.29216237,327.7457084,0.74,25,0.17,0.189326621,0.486998112,0.113362702
PLEASANT VALLEY W.D.,Field and Grain,Tulare Lake,5207.275974,289.315121,2.652255461,3.26,145.2774366,25,86.98746477,373.6919674,0.74,25,0.17,0.189326621,0.486998112,0.113362702
SAN BENITO CO. W.D.,Field and Grain,Central Coast,3129.446081,255.5234925,2.245253001,2.88,108.619501,25,65.03786991,279.3980676,0.74,25,0.17,0.189326621,0.486998112,0.113362702
SAN LUIS W.D.,Field and Grain,San Joaquin River,3912.822766,194.8087562,3.454627792,2.92,127.4152524,25,76.29216237,327.7457084,0.74,25,0.17,0.189326621,0.486998112,0.113362702
SANTA CLARA VALLEY W.D.,Field and Grain,San Francisco Bay,4508.8111,188.7820128,2.299231437,2.38,82.17788957,25,49.2054819,211.3832538,0.74,25,0.17,0.189326621,0.486998112,0.113362702
THE WEST SIDE I.D.,Field and Grain,San Joaquin River,1236.609202,194.8087562,3.454627792,2.92,127.4152524,25,76.29216237,327.7457084,0.74,25,0.17,0.189326621,0.486998112,0.113362702
TRANQUILLITY I.D.,Field and Grain,Tulare Lake,181.0480689,289.315121,2.652255461,3.26,145.2774366,25,86.98746477,373.6919674,0.74,25,0.17,0.189326621,0.486998112,0.113362702
Turner Island Water District,Field and Grain,San Joaquin River,1043.742892,194.8087562,3.454627792,2.92,127.4152524,25,76.29216237,327.7457084,0.74,25,0.17,0.189326621,0.486998112,0.113362702
WEST STANISLAUS I.D.,Field and Grain,San Joaquin River,192.5722329,194.8087562,3.454627792,2.92,127.4152524,25,76.29216237,327.7457084,0.74,25,0.17,0.189326621,0.486998112,0.113362702
WESTLANDS W.D.,Field and Grain,Tulare Lake,68547.1855,289.315121,2.652255461,3.26,145.2774366,25,86.98746477,373.6919674,0.74,25,0.17,0.189326621,0.486998112,0.113362702
BANTA-CARBONA I.D.,Grapes,San Joaquin River,230.4610366,1686.199914,10.80135885,3.1,5693.452825,50,6051.355455,4549.189642,0.13,50,0.17,0.312599493,0.249773629,0.332250166
Byron Bethany (CVP),Grapes,San Joaquin River,11.31627138,1686.199914,10.80135885,3.1,5693.452825,50,6051.355455,4549.189642,0.13,50,0.17,0.312599493,0.249773629,0.332250166
CENTRAL CALIFORNIA I.D.,Grapes,San Joaquin River,426.9213886,1686.199914,10.80135885,3.1,5693.452825,50,6051.355455,4549.189642,0.13,50,0.17,0.312599493,0.249773629,0.332250166
COLUMBIA CANAL CO.,Grapes,San Joaquin River,31.56189444,1686.199914,10.80135885,3.1,5693.452825,50,6051.355455,4549.189642,0.13,50,0.17,0.312599493,0.249773629,0.332250166
DEL PUERTO WATER DISTRICT,Grapes,San Joaquin River,510.9827322,1686.199914,10.80135885,3.1,5693.452825,50,6051.355455,4549.189642,0.13,50,0.17,0.312599493,0.249773629,0.332250166
HENRY MILLER RECLAMATION DIST. 2131,Grapes,San Joaquin River,41.67305644,1686.199914,10.80135885,3.1,5693.452825,50,6051.355455,4549.189642,0.13,50,0.17,0.312599493,0.249773629,0.332250166
JAMES I.D.,Grapes,Tulare Lake,1400.977366,1422.002244,11.72196241,4.01,2204.421494,50,7245.758443,5033.01877,0.13,50,0.17,0.132249498,0.30194507,0.434693599
PANOCHE W.D.,Grapes,San Joaquin River,2561.35883,1686.199914,10.80135885,3.1,5693.452825,50,6051.355455,4549.189642,0.13,50,0.17,0.312599493,0.249773629,0.332250166
PATTERSON W.D.,Grapes,San Joaquin River,18.49255497,1686.199914,10.80135885,3.1,5693.452825,50,6051.355455,4549.189642,0.13,50,0.17,0.312599493,0.249773629,0.332250166
SAN BENITO CO. W.D.,Grapes,Central Coast,162.5060611,1828.539429,9.7576058,2.46,2359.617613,50,7755.875763,5387.354353,0.13,50,0.17,0.132249498,0.30194507,0.434693599
SAN LUIS W.D.,Grapes,San Joaquin River,91.66181045,1686.199914,10.80135885,3.1,5693.452825,50,6051.355455,4549.189642,0.13,50,0.17,0.312599493,0.249773629,0.332250166
SANTA CLARA VALLEY W.D.,Grapes,San Francisco Bay,1635.614045,2182.634114,9.45983331,2.51,6454.352665,50,6860.087087,5157.164763,0.13,50,0.17,0.312599493,0.249773629,0.332250166
TRANQUILLITY I.D.,Grapes,Tulare Lake,127.6432007,1422.002244,11.72196241,4.01,2204.421494,50,7245.758443,5033.01877,0.13,50,0.17,0.132249498,0.30194507,0.434693599
WEST STANISLAUS I.D.,Grapes,San Joaquin River,704.4848463,1686.199914,10.80135885,3.1,5693.452825,50,6051.355455,4549.189642,0.13,50,0.17,0.312599493,0.249773629,0.332250166
